title,price,availability,rating,category
A Light in the Attic,0.0,In stock,3,Poetry
Tipping the Velvet,0.0,In stock,1,Historical Fiction
Soumission,0.0,In stock,1,Fiction
Sharp Objects,0.0,In stock,4,Mystery
Sapiens: A Brief History of Humankind,0.0,In stock,5,History
The Requiem Red,0.0,In stock,1,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,0.0,In stock,4,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",0.0,In stock,3,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,0.0,In stock,4,Default
The Black Maria,0.0,In stock,1,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",0.0,In stock,2,Default
Shakespeare's Sonnets,0.0,In stock,4,Poetry
Set Me Free,0.0,In stock,5,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),0.0,In stock,5,Sequential Art
Rip it Up and Start Again,0.0,In stock,5,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",0.0,In stock,3,Music
Olio,0.0,In stock,1,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,0.0,In stock,1,Science Fiction
Libertarianism for Beginners,0.0,In stock,2,Politics
It's Only the Himalayas,0.0,In stock,2,Travel
In Her Wake,0.0,In stock,1,Thriller
How Music Works,0.0,In stock,2,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",0.0,In stock,3,Food and Drink
Chase Me (Paris Nights #2),0.0,In stock,5,Romance
Black Dust,0.0,In stock,5,Romance
Birdsong: A Story in Pictures,0.0,In stock,3,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,0.0,In stock,3,Default
Aladdin and His Wonderful Lamp,0.0,In stock,3,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,0.0,In stock,5,Nonfiction
Wall and Piece,0.0,In stock,4,Art
